DATE_TIME,current_contract,next_contract,carry_contract
2023-03-15 23:00:00,20230300,20230400,20230400
2023-04-14 23:00:00,20230400,20230500,20230500
2023-05-15 23:00:00,20230500,20230600,20230600
2023-06-15 23:00:00,20230600,20230700,20230700
2023-07-14 23:00:00,20230700,20230800,20230800
2023-08-15 23:00:00,20230800,20230900,20230900
2023-09-15 23:00:00,20230900,20231000,20231000
2023-10-16 23:00:00,20231000,20231100,20231100
2023-11-15 23:00:00,20231100,20231200,20231200
2023-12-15 23:00:00,20231200,20240100,20240100
2024-01-15 23:00:00,20240100,20240200,20240200
2024-02-15 09:00:00,20240200,20240300,20240300
2024-03-15 09:00:00,20240300,20240400,20240400
2024-04-15 09:00:00,20240400,20240500,20240500
2024-05-15 09:00:00,20240500,20240600,20240600
2024-06-14 09:00:00,20240600,20240700,20240700
2024-07-15 09:00:00,20240700,20240800,20240800
2024-08-15 09:00:00,20240800,20240900,20240900
2024-09-16 09:00:00,20240900,20241000,20241000
2024-10-15 09:00:00,20241000,20241100,20241100
2024-11-15 09:00:00,20241100,20241200,20241200
