DATE_TIME,current_contract,next_contract,carry_contract
2019-07-01 05:00:00,20190800,20190900,20190900
2019-08-01 05:00:00,20190900,20191000,20191000
2019-08-30 05:00:00,20191000,20191100,20191100
2019-10-01 05:00:00,20191100,20191200,20191200
2019-10-31 05:00:00,20191200,20200100,20200100
2019-12-02 06:00:00,20200100,20200200,20200200
2019-12-31 06:00:00,20200200,20200300,20200300
2020-01-30 06:00:00,20200300,20200400,20200400
2020-03-02 06:00:00,20200400,20200500,20200500
2020-03-31 05:00:00,20200500,20200600,20200600
2020-05-01 05:00:00,20200600,20200700,20200700
2020-06-01 05:00:00,20200700,20200800,20200800
2020-07-01 05:00:00,20200800,20200900,20200900
2020-07-31 05:00:00,20200900,20201000,20201000
2020-08-31 05:00:00,20201000,20201100,20201100
2020-10-01 05:00:00,20201100,20201200,20201200
2020-10-30 05:00:00,20201200,20210100,20210100
2020-12-01 06:00:00,20210100,20210200,20210200
2020-12-31 06:00:00,20210200,20210300,20210300
2021-01-29 06:00:00,20210300,20210400,20210400
2021-03-01 06:00:00,20210400,20210500,20210500
2021-03-31 05:00:00,20210500,20210600,20210600
2021-04-30 05:00:00,20210600,20210700,20210700
2021-06-01 05:00:00,20210700,20210800,20210800
2021-07-01 05:00:00,20210800,20210900,20210900
2021-08-02 05:00:00,20210900,20211000,20211000
2021-08-31 05:00:00,20211000,20211100,20211100
2021-10-01 05:00:00,20211100,20211200,20211200
2021-11-01 05:00:00,20211200,20220100,20220100
2021-12-01 06:00:00,20220100,20220200,20220200
2021-12-31 06:00:00,20220200,20220300,20220300
2022-01-28 06:00:00,20220300,20220400,20220400
2022-03-01 06:00:00,20220400,20220500,20220500
2022-03-31 05:00:00,20220500,20220600,20220600
2022-05-02 05:00:00,20220600,20220700,20220700
2022-05-31 05:00:00,20220700,20220800,20220800
2022-07-01 05:00:00,20220800,20220900,20220900
2022-08-01 05:00:00,20220900,20221000,20221000
2022-08-31 05:00:00,20221000,20221100,20221100
2022-09-30 05:00:00,20221100,20221200,20221200
2022-10-31 05:00:00,20221200,20230100,20230100
2022-12-01 06:00:00,20230100,20230200,20230200
2022-12-30 06:00:00,20230200,20230300,20230300
2023-01-30 06:00:00,20230300,20230400,20230400
2023-03-01 06:00:00,20230400,20230500,20230500
2023-03-31 05:00:00,20230500,20230600,20230600
2023-05-01 05:00:00,20230600,20230700,20230700
2023-05-31 05:00:00,20230700,20230800,20230800
2023-06-30 05:00:00,20230800,20230900,20230900
2023-08-01 03:00:00,20230900,20231000,20231000
2023-08-31 05:00:00,20231000,20231100,20231100
2023-10-02 00:00:00,20231100,20231200,20231200
2023-10-31 02:00:00,20231200,20240100,20240100
2023-12-01 01:00:00,20240100,20240200,20240200
2024-01-02 00:00:00,20240200,20240300,20240300
2024-01-30 06:00:00,20240300,20240400,20240400
2024-03-01 06:00:00,20240400,20240500,20240500
2024-04-01 03:00:00,20240500,20240600,20240600
2024-05-01 03:00:00,20240600,20240700,20240700
2024-05-31 02:00:00,20240700,20240800,20240800
2024-07-01 01:00:00,20240800,20240900,20240900
2024-08-01 02:00:00,20240900,20241000,20241000
2024-08-30 05:00:00,20241000,20241100,20241100
2024-10-01 00:00:00,20241100,20241200,20241200
2024-10-31 05:00:00,20241200,20250100,20250100
2024-12-02 06:00:00,20250100,20250200,20250200
2025-01-01 23:00:00,20250200,20250300,20250300
2025-01-30 06:00:00,20250300,20250400,20250400
