DATE_TIME,current_contract,next_contract,carry_contract
1979-12-17 23:00:00,19800100,19800300,19800200
1980-02-15 23:00:00,19800300,19800500,19800400
1980-04-16 23:00:00,19800500,19800700,19800600
1980-06-16 23:00:00,19800700,19800900,19800800
1980-08-18 23:00:00,19800900,19801200,19801000
1980-11-17 23:00:00,19801200,19810300,19810100
1981-02-13 23:00:00,19810300,19810500,19810400
1981-04-16 23:00:00,19810500,19810700,19810600
1981-06-16 23:00:00,19810700,19810900,19810800
1981-08-17 23:00:00,19810900,19811200,19811000
1981-11-16 23:00:00,19811200,19820300,19820100
1982-02-12 23:00:00,19820300,19820500,19820400
1982-04-16 23:00:00,19820500,19820700,19820600
1982-06-16 23:00:00,19820700,19820900,19820800
1982-08-17 23:00:00,19820900,19821200,19821000
1982-11-16 23:00:00,19821200,19830300,19830100
1983-02-14 23:00:00,19830300,19830500,19830400
1983-04-15 23:00:00,19830500,19830700,19830600
1983-06-16 23:00:00,19830700,19830900,19830800
1983-08-17 23:00:00,19830900,19831200,19831000
1983-11-16 23:00:00,19831200,19840300,19840100
1984-02-15 23:00:00,19840300,19840500,19840400
1984-04-16 23:00:00,19840500,19840700,19840600
1984-06-15 23:00:00,19840700,19840900,19840800
1984-08-17 23:00:00,19840900,19841200,19841000
1984-11-16 23:00:00,19841200,19850300,19850100
1985-02-14 23:00:00,19850300,19850500,19850400
1985-04-16 23:00:00,19850500,19850700,19850600
1985-06-17 23:00:00,19850700,19850900,19850800
1985-08-16 23:00:00,19850900,19851200,19851000
1985-11-15 23:00:00,19851200,19860300,19860100
1986-02-14 23:00:00,19860300,19860500,19860400
1986-04-16 23:00:00,19860500,19860700,19860600
1986-06-16 23:00:00,19860700,19860900,19860800
1986-08-18 23:00:00,19860900,19861200,19861000
1986-11-17 23:00:00,19861200,19870300,19870100
1987-02-13 23:00:00,19870300,19870500,19870400
1987-04-16 23:00:00,19870500,19870700,19870600
1987-06-16 23:00:00,19870700,19870900,19870800
1987-08-17 23:00:00,19870900,19871200,19871000
1987-11-16 23:00:00,19871200,19880300,19880100
1988-02-16 23:00:00,19880300,19880500,19880400
1988-04-15 23:00:00,19880500,19880700,19880600
1988-06-16 23:00:00,19880700,19880900,19880800
1988-08-17 23:00:00,19880900,19881200,19881000
1988-11-16 23:00:00,19881200,19890300,19890100
1989-02-14 23:00:00,19890300,19890500,19890400
1989-04-17 23:00:00,19890500,19890700,19890600
1989-06-16 23:00:00,19890700,19890900,19890800
1989-08-17 23:00:00,19890900,19891200,19891000
1989-11-16 23:00:00,19891200,19900300,19900100
1990-02-14 23:00:00,19900300,19900500,19900400
1990-04-16 23:00:00,19900500,19900700,19900600
1990-06-15 23:00:00,19900700,19900900,19900800
1990-08-17 23:00:00,19900900,19901200,19901000
1990-11-16 23:00:00,19901200,19910300,19910100
1991-02-14 23:00:00,19910300,19910500,19910400
1991-04-16 23:00:00,19910500,19910700,19910600
1991-06-17 23:00:00,19910700,19910900,19910800
1991-08-16 23:00:00,19910900,19911200,19911000
1991-11-15 23:00:00,19911200,19920300,19920100
1992-02-14 23:00:00,19920300,19920500,19920400
1992-04-16 23:00:00,19920500,19920700,19920600
1992-06-16 23:00:00,19920700,19920900,19920800
1992-08-17 23:00:00,19920900,19921200,19921000
1992-11-16 23:00:00,19921200,19930300,19930100
1993-02-12 23:00:00,19930300,19930500,19930400
1993-04-16 23:00:00,19930500,19930700,19930600
1993-06-16 23:00:00,19930700,19930900,19930800
1993-08-17 23:00:00,19930900,19931200,19931000
1993-11-16 23:00:00,19931200,19940300,19940100
1994-02-14 23:00:00,19940300,19940500,19940400
1994-04-15 23:00:00,19940500,19940700,19940600
