DATE_TIME,current_contract,next_contract,carry_contract
2021-12-14 23:00:00,20211200,20220300,20220300
2022-03-16 23:00:00,20220300,20220600,20220600
2022-06-13 23:00:00,20220600,20220900,20220900
2022-09-14 23:00:00,20220900,20221200,20221200
2022-12-09 23:00:00,20221200,20230300,20230300
2023-03-09 23:00:00,20230300,20230600,20230600
2023-06-09 23:00:00,20230600,20230900,20230900
2023-09-08 23:00:00,20230900,20231200,20231200
2023-12-08 23:00:00,20231200,20240300,20240300
2024-03-08 23:00:00,20240300,20240600,20240600
2024-06-10 23:00:00,20240600,20240900,20240900
2024-09-09 23:00:00,20240900,20241200,20241200
2024-12-09 23:00:00,20241200,20250300,20250300
