DATE_TIME,current_contract,next_contract,carry_contract
2012-11-26 06:00:00,20121200,20131200,20131200
2013-11-26 06:00:00,20131200,20141200,20141200
2014-11-26 06:00:00,20141200,20151200,20151200
2015-11-27 06:00:00,20151200,20161200,20161200
2016-11-28 06:00:00,20161200,20171200,20171200
2017-11-27 06:00:00,20171200,20181200,20181200
2018-11-26 06:00:00,20181200,20191200,20191200
2019-11-27 06:00:00,20191200,20201200,20201200
2020-10-19 05:00:00,20201200,20210600,20210600
2021-04-16 05:00:00,20210600,20211200,20211200
2021-10-18 05:00:00,20211200,20220600,20220600
2022-04-19 05:00:00,20220600,20221200,20221200
2022-10-17 05:00:00,20221200,20230600,20230600
2023-04-17 05:00:00,20230600,20231200,20231200
2023-10-17 05:00:00,20231200,20240600,20240600
2024-04-17 05:00:00,20240600,20241200,20241200
2024-10-17 05:00:00,20241200,20250600,20250600
2025-04-17 05:00:00,20250600,20251200,20251200
