DATE_TIME,current_contract,next_contract,carry_contract
2009-03-20 23:00:00,20091200,20101200,20090900
2010-03-19 23:00:00,20101200,20111200,20100900
2011-03-21 23:00:00,20111200,20121200,20110900
2012-03-20 23:00:00,20121200,20131200,20120900
2013-03-20 23:00:00,20131200,20141200,20130900
2014-03-20 23:00:00,20141200,20151200,20140900
2015-03-20 23:00:00,20151200,20161200,20150900
2016-03-21 23:00:00,20161200,20171200,20160900
2017-03-20 23:00:00,20171200,20181200,20170900
2018-03-20 23:00:00,20181200,20191200,20180900
2019-03-20 23:00:00,20191200,20201200,20190900
2020-03-20 23:00:00,20201200,20211200,20200900
2021-03-19 23:00:00,20211200,20221200,20210900
2022-03-21 23:00:00,20221200,20231200,20220900
2023-03-20 23:00:00,20231200,20241200,20230900
2024-03-20 23:00:00,20241200,20251200,20240900
2025-03-20 23:00:00,20251200,20261200,20250900
