DATE_TIME,current_contract,next_contract,carry_contract
2006-08-11 05:00:00,20060800,20061100,20061100
2006-11-10 06:00:00,20061100,20070500,20070500
2007-05-11 05:00:00,20070500,20070800,20070800
2007-08-10 05:00:00,20070800,20071100,20071100
2007-11-12 06:00:00,20071100,20080500,20080500
2008-05-12 05:00:00,20080500,20080800,20080800
2008-08-11 05:00:00,20080800,20081100,20081100
2008-11-11 06:00:00,20081100,20090500,20090500
2009-05-11 05:00:00,20090500,20090800,20090800
2009-08-11 05:00:00,20090800,20091100,20091100
2009-11-11 06:00:00,20091100,20100500,20100500
2010-05-11 05:00:00,20100500,20100800,20100800
2010-08-11 05:00:00,20100800,20101100,20101100
2010-11-11 06:00:00,20101100,20110500,20110500
2011-05-11 05:00:00,20110500,20110800,20110800
2011-08-11 05:00:00,20110800,20111100,20111100
2011-11-11 06:00:00,20111100,20120500,20120500
2012-05-11 05:00:00,20120500,20120800,20120800
2012-08-10 05:00:00,20120800,20121100,20121100
2012-11-12 06:00:00,20121100,20130500,20130500
2013-05-10 05:00:00,20130500,20130800,20130800
2013-08-12 05:00:00,20130800,20131100,20131100
2013-11-11 06:00:00,20131100,20140500,20140500
2014-05-12 05:00:00,20140500,20140800,20140800
2014-08-11 05:00:00,20140800,20141100,20141100
2014-11-11 06:00:00,20141100,20150500,20150500
2015-05-11 05:00:00,20150500,20150800,20150800
2015-08-11 05:00:00,20150800,20151100,20151100
2015-11-11 06:00:00,20151100,20160500,20160500
2016-05-11 05:00:00,20160500,20160800,20160800
2016-08-11 05:00:00,20160800,20161100,20161100
2016-11-11 06:00:00,20161100,20170500,20170500
2017-05-11 05:00:00,20170500,20170800,20170800
2017-08-11 05:00:00,20170800,20171100,20171100
2017-11-10 06:00:00,20171100,20180500,20180500
2018-05-11 05:00:00,20180500,20180800,20180800
2018-08-10 05:00:00,20180800,20181100,20181100
2018-11-12 06:00:00,20181100,20190500,20190500
2019-05-10 05:00:00,20190500,20190800,20190800
2019-08-12 05:00:00,20190800,20191100,20191100
2019-11-11 06:00:00,20191100,20200500,20200500
2020-05-11 05:00:00,20200500,20200800,20200800
2020-08-11 05:00:00,20200800,20201100,20201100
2020-11-11 06:00:00,20201100,20210500,20210500
2021-05-11 05:00:00,20210500,20210800,20210800
2021-08-11 05:00:00,20210800,20211100,20211100
2021-11-11 06:00:00,20211100,20220500,20220500
2022-05-11 05:00:00,20220500,20220800,20220800
2022-08-11 05:00:00,20220800,20221100,20221100
2022-11-11 06:00:00,20221100,20230500,20230500
2023-05-11 05:00:00,20230500,20230800,20230800
2023-08-11 05:00:00,20230800,20231100,20231100
2023-11-10 06:00:00,20231100,20240500,20240500
2024-05-10 05:00:00,20240500,20240800,20240800
2024-08-10 05:00:00,20240800,20241100,20241100
2024-11-10 05:00:00,20241100,20250500,20250500
2025-05-10 05:00:00,20250500,20250800,20250800
