DATE_TIME,current_contract,next_contract,carry_contract
1993-11-19 06:00:00,19931200,19940300,19940300
1994-02-18 06:00:00,19940300,19940600,19940600
1994-05-20 05:00:00,19940600,19940900,19940900
1994-08-19 05:00:00,19940900,19941200,19941200
1994-11-18 06:00:00,19941200,19950300,19950300
1995-02-20 06:00:00,19950300,19950600,19950600
1995-05-19 05:00:00,19950600,19950900,19950900
1995-08-18 05:00:00,19950900,19951200,19951200
1995-11-20 06:00:00,19951200,19960300,19960300
1996-02-20 06:00:00,19960300,19960600,19960600
1996-05-20 05:00:00,19960600,19960900,19960900
1996-08-20 05:00:00,19960900,19961200,19961200
1996-11-20 06:00:00,19961200,19970300,19970300
1997-02-20 06:00:00,19970300,19970600,19970600
1997-05-20 05:00:00,19970600,19970900,19970900
1997-08-20 05:00:00,19970900,19971200,19971200
1997-11-20 06:00:00,19971200,19980300,19980300
1998-02-20 06:00:00,19980300,19980600,19980600
1998-05-27 05:00:00,19980600,19980900,19980900
1998-08-27 05:00:00,19980900,19981200,19981200
1998-11-26 06:00:00,19981200,19990300,19990300
1999-02-24 06:00:00,19990300,19990600,19990600
1999-05-27 05:00:00,19990600,19990900,19990900
1999-08-27 05:00:00,19990900,19991200,19991200
1999-11-26 06:00:00,19991200,20000300,20000300
2000-02-25 06:00:00,20000300,20000600,20000600
2000-05-26 05:00:00,20000600,20000900,20000900
2000-08-25 05:00:00,20000900,20001200,20001200
2000-11-17 06:00:00,20001200,20010300,20010300
2001-02-22 06:00:00,20010300,20010600,20010600
2001-05-28 05:00:00,20010600,20010900,20010900
2001-08-27 05:00:00,20010900,20011200,20011200
2001-11-26 06:00:00,20011200,20020300,20020300
2002-02-25 06:00:00,20020300,20020600,20020600
2002-05-27 05:00:00,20020600,20020900,20020900
2002-08-27 05:00:00,20020900,20021200,20021200
2002-11-26 06:00:00,20021200,20030300,20030300
2003-03-07 06:00:00,20030300,20030600,20030600
2003-05-27 05:00:00,20030600,20030900,20030900
2003-08-27 05:00:00,20030900,20031200,20031200
2003-11-26 06:00:00,20031200,20040300,20040300
2004-02-25 06:00:00,20040300,20040600,20040600
2004-05-27 05:00:00,20040600,20040900,20040900
2004-08-27 05:00:00,20040900,20041200,20041200
2004-11-26 06:00:00,20041200,20050300,20050300
2005-02-24 06:00:00,20050300,20050600,20050600
2005-05-27 05:00:00,20050600,20050900,20050900
2005-08-26 05:00:00,20050900,20051200,20051200
2005-11-25 06:00:00,20051200,20060300,20060300
