DATE_TIME,current_contract,next_contract,carry_contract
2022-08-08 14:00:00,20220900,20221100,20221100
2022-09-27 05:00:00,20221100,20230100,20230100
2022-11-28 06:00:00,20230100,20230300,20230300
2023-01-25 06:00:00,20230300,20230500,20230500
2023-03-27 05:00:00,20230500,20230700,20230700
2023-05-26 05:00:00,20230700,20230900,20230900
2023-07-28 05:00:00,20230900,20231100,20231100
2023-09-27 05:00:00,20231100,20240100,20240100
2023-11-27 06:00:00,20240100,20240300,20240300
2024-01-26 06:00:00,20240300,20240500,20240500
2024-03-27 05:00:00,20240500,20240700,20240700
2024-05-28 05:00:00,20240700,20240900,20240900
2024-07-29 05:00:00,20240900,20241100,20241100
2024-09-27 05:00:00,20241100,20250100,20250100
2024-11-27 06:00:00,20250100,20250300,20250300
2025-01-26 06:00:00,20250300,20250500,20250500
