DATE_TIME,current_contract,next_contract,carry_contract
2021-03-15 05:00:00,20210600,20210900,20210300
2021-03-15 05:00:00,20210900,20211200,20210600
2021-06-03 05:00:00,20211200,20220300,20210900
2021-09-01 05:00:00,20220300,20220600,20211200
2021-12-02 06:00:00,20220600,20220900,20220300
2022-03-04 06:00:00,20220900,20221200,20220600
2022-06-03 05:00:00,20221200,20230300,20220900
2022-09-01 05:00:00,20230300,20230600,20221200
2022-12-02 06:00:00,20230600,20230900,20230300
2023-03-03 06:00:00,20230900,20231200,20230600
2023-06-02 05:00:00,20231200,20240300,20230900
2023-09-01 05:00:00,20240300,20240600,20231200
2023-12-04 06:00:00,20240600,20240900,20240300
2024-03-04 06:00:00,20240900,20241200,20240600
2024-09-30 10:00:00,20241200,20250300,20240900
2024-09-02 23:00:00,20250300,20250600,20241200
2024-12-04 23:00:00,20250600,20250900,20250300
2025-03-04 23:00:00,20250900,20251200,20250600
