DATE_TIME,current_contract,next_contract,carry_contract
2018-09-28 05:00:00,20190300,20190600,20181200
2018-09-28 05:00:00,20190600,20190900,20190300
2018-09-28 05:00:00,20190900,20191200,20190600
2018-09-28 05:00:00,20191200,20200300,20190900
2018-09-28 05:00:00,20200300,20200600,20191200
2018-09-28 05:00:00,20200600,20200900,20200300
2018-09-28 05:00:00,20200900,20201200,20200600
2018-09-28 05:00:00,20201200,20210300,20200900
2018-09-28 05:00:00,20210300,20210600,20201200
2018-09-28 05:00:00,20210600,20210900,20210300
2018-12-27 06:00:00,20210900,20211200,20210600
2019-03-27 05:00:00,20211200,20220300,20210900
2019-06-26 05:00:00,20220300,20220600,20211200
2019-09-26 05:00:00,20220600,20220900,20220300
2019-12-27 06:00:00,20220900,20221200,20220600
2020-03-26 05:00:00,20221200,20230300,20220900
2020-06-25 05:00:00,20230300,20230600,20221200
2020-09-25 05:00:00,20230600,20230900,20230300
2020-12-28 06:00:00,20230900,20231200,20230600
2021-03-29 05:00:00,20231200,20240300,20230900
2021-06-28 05:00:00,20240300,20240600,20231200
2021-09-27 05:00:00,20240600,20240900,20240300
2021-12-15 06:00:00,20240900,20241200,20240600
2022-03-16 05:00:00,20241200,20250300,20240900
2022-06-14 05:00:00,20250300,20250600,20241200
2022-09-14 05:00:00,20250600,20250900,20250300
2022-12-15 06:00:00,20250900,20251200,20250600
2023-11-12 09:30:00,20251200,20260300,20250900
2023-11-12 09:30:00,20260300,20260600,20251200
2023-12-13 23:00:00,20260600,20260900,20260300
2023-12-15 23:00:00,20260900,20261200,20260600
2024-03-15 23:00:00,20261200,20270300,20260900
2024-06-13 23:00:00,20270300,20270600,20261200
2024-09-13 23:00:00,20270600,20270900,20270300
2024-12-13 09:30:00,20270900,20271200,20270600
2025-03-15 23:00:00,20271200,20280300,20270900
