DATE_TIME,current_contract,next_contract,carry_contract
2001-11-15 06:00:00,20011200,20020300,20020300
2002-02-13 06:00:00,20020300,20020600,20020600
2002-05-16 05:00:00,20020600,20020900,20020900
2002-08-16 05:00:00,20020900,20021200,20021200
2002-11-15 06:00:00,20021200,20030300,20030300
2003-02-13 06:00:00,20030300,20030600,20030600
2003-05-16 05:00:00,20030600,20030900,20030900
2003-08-15 05:00:00,20030900,20031200,20031200
2003-11-14 06:00:00,20031200,20040300,20040300
2004-02-13 06:00:00,20040300,20040600,20040600
2004-05-17 05:00:00,20040600,20040900,20040900
2004-08-16 05:00:00,20040900,20041200,20041200
2004-11-15 06:00:00,20041200,20050300,20050300
2005-02-14 06:00:00,20050300,20050600,20050600
2005-05-16 05:00:00,20050600,20050900,20050900
2005-08-16 05:00:00,20050900,20051200,20051200
2005-11-15 06:00:00,20051200,20060300,20060300
2006-02-13 06:00:00,20060300,20060600,20060600
2006-05-16 05:00:00,20060600,20060900,20060900
2006-08-16 05:00:00,20060900,20061200,20061000
2006-11-15 06:00:00,20061200,20070300,20070100
2007-02-13 06:00:00,20070300,20070600,20070400
2007-05-16 05:00:00,20070600,20070900,20070700
2007-08-16 05:00:00,20070900,20071200,20071000
2007-11-15 06:00:00,20071200,20080300,20080100
2008-02-14 06:00:00,20080300,20080600,20080600
2008-05-16 05:00:00,20080600,20080900,20080900
2008-08-15 05:00:00,20080900,20081200,20081200
2008-11-14 06:00:00,20081200,20090300,20090300
2009-02-13 06:00:00,20090300,20090600,20090600
2009-05-15 05:00:00,20090600,20090900,20090900
2009-08-17 05:00:00,20090900,20091200,20091200
2009-11-16 06:00:00,20091200,20100300,20100300
2010-02-12 06:00:00,20100300,20100600,20100600
2010-05-17 05:00:00,20100600,20100900,20100700
2010-08-16 05:00:00,20100900,20101200,20101000
2010-11-15 06:00:00,20101200,20110300,20110100
2011-02-14 06:00:00,20110300,20110600,20110400
2011-05-16 05:00:00,20110600,20110900,20110700
2011-08-16 05:00:00,20110900,20111200,20111000
2011-11-15 06:00:00,20111200,20120300,20120100
2012-02-14 06:00:00,20120300,20120600,20120400
2012-05-16 05:00:00,20120600,20120900,20120700
2012-08-16 05:00:00,20120900,20121200,20121000
2012-11-15 06:00:00,20121200,20130300,20130100
2013-02-13 06:00:00,20130300,20130600,20130400
2013-05-16 05:00:00,20130600,20130900,20130700
2013-08-16 05:00:00,20130900,20131200,20131000
2013-11-15 06:00:00,20131200,20140300,20140100
2014-02-13 06:00:00,20140300,20140600,20140400
2014-05-16 05:00:00,20140600,20140900,20140700
2014-08-15 05:00:00,20140900,20141200,20141000
2014-11-14 06:00:00,20141200,20150300,20150100
2015-02-13 06:00:00,20150300,20150600,20150500
2015-05-15 05:00:00,20150600,20150900,20150700
2015-08-17 05:00:00,20150900,20151200,20151000
2015-11-16 06:00:00,20151200,20160300,20160100
2016-02-15 06:00:00,20160300,20160600,20160400
2016-05-16 05:00:00,20160600,20160900,20160700
2016-08-16 05:00:00,20160900,20161200,20161000
2016-11-15 06:00:00,20161200,20170300,20170100
2017-02-13 06:00:00,20170300,20170600,20170400
2017-05-16 05:00:00,20170600,20170900,20170700
2017-08-16 05:00:00,20170900,20171200,20171000
2017-11-15 06:00:00,20171200,20180300,20180100
2018-02-13 06:00:00,20180300,20180600,20180400
2018-05-16 05:00:00,20180600,20180900,20180700
2018-08-16 05:00:00,20180900,20181200,20181000
2018-11-15 06:00:00,20181200,20190300,20190100
2019-02-13 06:00:00,20190300,20190600,20190400
2019-05-16 05:00:00,20190600,20190900,20190700
2019-08-16 05:00:00,20190900,20191200,20191000
2019-11-15 06:00:00,20191200,20200300,20200100
2020-02-14 06:00:00,20200300,20200600,20200400
2020-05-15 05:00:00,20200600,20200900,20200700
2020-08-17 05:00:00,20200900,20201200,20201000
2020-11-16 00:00:00,20201200,20210300,20210100
2021-02-12 06:00:00,20210300,20210600,20210400
2021-05-17 00:00:00,20210600,20210900,20210700
2021-08-16 05:00:00,20210900,20211200,20211000
2021-11-15 06:00:00,20211200,20220300,20220100
2022-02-14 06:00:00,20220300,20220600,20220400
2022-05-16 01:00:00,20220600,20220900,20220700
2022-08-16 02:00:00,20220900,20221200,20221000
2022-11-15 04:00:00,20221200,20230300,20230100
2023-02-13 06:00:00,20230300,20230600,20230400
2023-05-16 05:00:00,20230600,20230900,20230700
2023-08-16 04:00:00,20230900,20231200,20231000
2023-11-15 00:00:00,20231200,20240300,20240100
2024-02-14 06:00:00,20240300,20240600,20240400
2024-05-16 05:00:00,20240600,20240900,20240700
2024-08-16 00:00:00,20240900,20241200,20241000
2024-11-18 23:00:00,20241200,20250300,20250100
2025-02-14 23:00:00,20250300,20250600,20250400
